subject;trial;setSize;setSize.f;target;error;sdt;rTime
1;182;3;3;Present;No;H;472
1;183;3;3;Absent;No;CR;517
1;184;3;3;Present;No;H;517
1;185;6;6;Absent;No;CR;699
1;186;12;12;Absent;No;CR;610
1;187;18;18;Present;No;H;563
1;188;6;6;Absent;No;CR;522
1;189;3;3;Absent;No;CR;518
1;190;6;6;Present;No;H;521
1;191;18;18;Present;No;H;440
1;192;12;12;Present;No;H;386
1;193;18;18;Absent;No;CR;742
1;194;18;18;Absent;No;CR;1067
1;195;18;18;Present;No;H;462
1;196;3;3;Absent;No;CR;596
1;197;12;12;Absent;No;CR;799
1;198;6;6;Absent;No;CR;701
1;199;6;6;Present;No;H;623
1;200;12;12;Present;No;H;812
1;201;18;18;Absent;No;CR;641
1;202;6;6;Absent;No;CR;589
1;203;18;18;Absent;No;CR;686
1;204;6;6;Absent;No;CR;454
1;205;6;6;Absent;No;CR;399
1;206;12;12;Absent;No;CR;441
1;207;12;12;Absent;No;CR;363
1;208;12;12;Absent;No;CR;464
1;209;3;3;Present;No;H;438
1;210;6;6;Present;No;H;431
1;211;12;12;Present;No;H;476
1;212;18;18;Absent;No;CR;697
1;213;3;3;Present;No;H;473
1;214;6;6;Present;No;H;354
1;215;6;6;Absent;No;CR;533
1;216;3;3;Absent;No;CR;551
1;217;18;18;Absent;No;CR;809
1;218;18;18;Present;No;H;641
1;219;6;6;Absent;No;CR;466
1;220;18;18;Absent;No;CR;877
1;221;12;12;Absent;No;CR;532
1;222;6;6;Absent;No;CR;455
1;223;6;6;Absent;No;CR;432
1;224;18;18;Absent;No;CR;518
1;225;12;12;Present;Yes;M;397
1;226;18;18;Present;No;H;462
1;227;12;12;Present;No;H;465
1;228;6;6;Present;No;H;477
1;229;12;12;Present;No;H;408
1;230;3;3;Present;No;H;460
1;231;6;6;Absent;No;CR;679
1;232;6;6;Present;No;H;567
1;233;6;6;Absent;No;CR;656
1;234;3;3;Present;No;H;380
1;235;6;6;Present;No;H;399
1;236;12;12;Present;No;H;464
1;237;18;18;Present;No;H;418
1;238;3;3;Present;No;H;417
1;239;6;6;Present;No;H;466
1;240;3;3;Absent;No;CR;641
1;241;18;18;Absent;No;CR;798
1;242;3;3;Absent;No;CR;529
1;243;12;12;Present;No;H;542
1;244;18;18;Absent;No;CR;630
1;245;12;12;Present;No;H;520
1;246;6;6;Present;Yes;M;522
1;247;12;12;Absent;No;CR;676
1;248;18;18;Absent;No;CR;1280
1;249;18;18;Absent;No;CR;653
1;250;18;18;Absent;No;CR;496
1;251;6;6;Present;No;H;534
1;252;18;18;Present;No;H;1414
1;253;3;3;Absent;No;CR;596
1;254;12;12;Present;No;H;453
1;255;18;18;Absent;No;CR;586
1;256;6;6;Absent;No;CR;432
1;257;12;12;Absent;No;CR;474
1;258;18;18;Absent;No;CR;495
1;259;18;18;Absent;No;CR;698
1;260;3;3;Absent;No;CR;450
1;261;12;12;Absent;No;CR;464
1;262;6;6;Absent;No;CR;376
1;263;12;12;Absent;No;CR;396
1;264;18;18;Absent;No;CR;451
1;265;3;3;Absent;No;CR;391
1;266;6;6;Absent;No;CR;376
1;267;18;18;Present;No;H;606
1;268;12;12;Present;No;H;756
1;269;3;3;Present;No;H;383
1;270;18;18;Absent;No;CR;899
1;271;12;12;Present;No;H;509
1;272;18;18;Present;No;H;496
1;273;18;18;Present;No;H;530
1;274;6;6;Absent;No;CR;544
1;275;18;18;Absent;No;CR;697
1;276;12;12;Absent;No;CR;610
1;277;6;6;Absent;No;CR;511
1;278;18;18;Present;No;H;542
1;279;12;12;Present;No;H;442
1;280;6;6;Absent;No;CR;522
1;281;18;18;Absent;No;CR;541
1;282;12;12;Absent;No;CR;554
1;283;12;12;Absent;No;CR;508
1;284;6;6;Present;No;H;499
1;285;6;6;Present;No;H;533
1;286;18;18;Absent;No;CR;832
1;287;3;3;Present;No;H;472
1;288;18;18;Present;No;H;529
1;289;3;3;Absent;No;CR;562
1;290;12;12;Present;No;H;498
1;291;18;18;Present;No;H;540
1;292;3;3;Present;No;H;461
1;293;3;3;Absent;No;CR;517
1;294;12;12;Absent;No;CR;732
1;295;18;18;Present;Yes;M;630
1;296;6;6;Absent;No;CR;746
1;297;12;12;Present;No;H;576
1;298;3;3;Absent;No;CR;1738
1;299;18;18;Absent;No;CR;675
1;300;6;6;Present;No;H;645
1;1;6;6;Present;No;H;500
1;2;12;12;Absent;No;CR;756
1;3;12;12;Present;No;H;459
1;4;3;3;Present;No;H;416
1;5;6;6;Absent;No;CR;443
1;6;3;3;Present;No;H;367
1;7;6;6;Present;No;H;451
1;8;18;18;Present;No;H;629
1;9;12;12;Absent;No;CR;621
1;10;3;3;Absent;No;CR;543
1;11;12;12;Absent;No;CR;556
1;12;18;18;Absent;No;CR;564
1;13;12;12;Absent;No;CR;507
1;14;18;18;Present;No;H;651
1;15;3;3;Present;No;H;398
1;16;12;12;Present;No;H;394
1;17;3;3;Present;No;H;382
1;18;12;12;Present;No;H;403
1;19;18;18;Absent;No;CR;730
1;20;3;3;Absent;No;CR;678
1;21;6;6;Present;No;H;850
1;22;3;3;Absent;No;CR;630
1;23;3;3;Present;No;H;551
1;24;12;12;Absent;No;CR;603
1;25;3;3;Absent;No;CR;670
1;26;18;18;Present;No;H;746
1;27;18;18;Present;No;H;473
1;28;6;6;Present;No;H;474
1;29;18;18;Absent;No;CR;1201
1;30;12;12;Absent;No;CR;575
1;31;18;18;Present;No;H;496
1;32;18;18;Present;No;H;361
1;33;3;3;Absent;No;CR;581
1;34;3;3;Present;No;H;566
1;35;12;12;Absent;No;CR;744
1;36;12;12;Absent;No;CR;737
1;37;6;6;Present;No;H;432
1;38;3;3;Absent;No;CR;478
1;39;12;12;Present;No;H;800
1;40;18;18;Absent;No;CR;663
1;41;3;3;Present;No;H;654
1;42;6;6;Present;No;H;345
1;43;6;6;Present;No;H;689
1;44;18;18;Present;No;H;799
1;45;18;18;Present;No;H;686
1;46;18;18;Present;No;H;358
1;47;6;6;Present;No;H;368
1;48;3;3;Absent;No;CR;693
1;49;3;3;Present;No;H;445
1;50;3;3;Absent;No;CR;733
1;51;6;6;Present;No;H;463
1;52;18;18;Present;No;H;429
1;53;12;12;Absent;No;CR;575
1;54;12;12;Absent;No;CR;631
1;55;12;12;Present;No;H;583
1;56;6;6;Absent;No;CR;584
1;57;18;18;Present;No;H;613
1;58;18;18;Present;No;H;622
1;59;18;18;Present;No;H;422
1;60;12;12;Absent;No;CR;703
1;61;3;3;Absent;No;CR;509
1;62;12;12;Absent;No;CR;519
1;63;18;18;Absent;No;CR;630
1;64;12;12;Present;No;H;591
1;65;12;12;Absent;No;CR;775
1;66;12;12;Present;No;H;463
1;67;6;6;Present;No;H;665
1;68;18;18;Absent;No;CR;1182
1;69;3;3;Absent;No;CR;557
1;70;6;6;Absent;No;CR;544
1;71;6;6;Absent;No;CR;432
1;72;12;12;Present;No;H;495
1;73;12;12;Present;No;H;591
1;74;18;18;Absent;No;CR;756
1;75;6;6;Absent;No;CR;576
1;76;12;12;Absent;No;CR;679
1;77;6;6;Absent;No;CR;400
1;78;12;12;Present;No;H;535
1;79;18;18;Absent;No;CR;589
1;80;6;6;Present;No;H;527
1;81;12;12;Present;No;H;575
1;82;3;3;Present;No;H;413
1;83;12;12;Present;No;H;535
1;84;3;3;Present;No;H;397
1;85;6;6;Absent;No;CR;984
1;86;6;6;Absent;No;CR;608
1;87;12;12;Absent;No;CR;511
1;88;6;6;Present;No;H;544
1;89;3;3;Absent;No;CR;693
1;90;6;6;Absent;No;CR;504
1;91;12;12;Present;No;H;399
1;92;3;3;Present;No;H;500
1;93;3;3;Absent;No;CR;892
1;94;6;6;Present;No;H;446
1;95;12;12;Absent;No;CR;583
1;96;6;6;Present;No;H;464
1;97;12;12;Present;No;H;463
1;98;18;18;Present;No;H;854
1;99;18;18;Absent;No;CR;622
1;100;12;12;Present;No;H;551
1;101;3;3;Absent;No;CR;613
1;102;6;6;Absent;No;CR;480
1;103;6;6;Absent;No;CR;472
1;104;3;3;Absent;No;CR;445
1;105;3;3;Absent;No;CR;405
1;106;12;12;Absent;No;CR;647
1;107;3;3;Present;No;H;653
1;108;6;6;Present;No;H;641
1;109;18;18;Absent;No;CR;661
1;110;12;12;Absent;No;CR;551
1;111;18;18;Absent;No;CR;526
1;112;18;18;Present;Yes;M;599
1;113;6;6;Present;No;H;415
1;114;18;18;Absent;No;CR;774
1;115;6;6;Present;No;H;744
1;116;6;6;Present;No;H;424
1;117;6;6;Present;No;H;512
1;118;6;6;Absent;No;CR;776
1;119;3;3;Absent;No;CR;756
1;120;18;18;Absent;No;CR;638
1;121;18;18;Absent;No;CR;598
1;122;6;6;Present;No;H;536
1;123;12;12;Absent;No;CR;695
1;124;18;18;Absent;No;CR;612
1;125;3;3;Present;No;H;509
1;126;18;18;Present;No;H;566
1;127;12;12;Absent;No;CR;567
1;128;12;12;Absent;No;CR;479
1;129;3;3;Present;No;H;469
1;130;12;12;Absent;No;CR;327
1;131;3;3;Present;No;H;332
1;132;12;12;Absent;No;CR;575
1;133;12;12;Absent;No;CR;607
1;134;12;12;Present;No;H;455
1;135;3;3;Absent;No;CR;477
1;136;12;12;Absent;No;CR;495
1;137;18;18;Absent;No;CR;397
1;138;3;3;Present;No;H;581
1;139;18;18;Present;No;H;613
1;140;3;3;Absent;No;CR;581
1;141;6;6;Absent;No;CR;489
1;142;12;12;Absent;No;CR;599
1;143;6;6;Absent;No;CR;384
1;144;12;12;Absent;No;CR;495
1;145;18;18;Absent;No;CR;525
1;146;12;12;Absent;No;CR;414
1;147;6;6;Present;No;H;520
1;148;6;6;Absent;No;CR;616
1;149;12;12;Absent;No;CR;464
1;150;18;18;Present;No;H;468
1;151;6;6;Present;No;H;465
1;152;18;18;Present;No;H;638
1;153;6;6;Absent;No;CR;680
1;154;6;6;Present;No;H;615
1;155;12;12;Present;No;H;615
1;156;6;6;Present;No;H;416
1;157;18;18;Absent;No;CR;550
1;158;12;12;Absent;No;CR;495
1;159;12;12;Present;No;H;463
1;160;6;6;Absent;No;CR;456
1;161;12;12;Present;No;H;759
1;162;6;6;Absent;No;CR;719
1;163;3;3;Present;No;H;460
1;164;3;3;Absent;No;CR;564
1;165;18;18;Present;No;H;614
1;166;12;12;Absent;No;CR;543
1;167;3;3;Absent;No;CR;620
1;168;6;6;Present;No;H;704
1;169;18;18;Absent;No;CR;654
1;170;6;6;Absent;No;CR;560
1;171;18;18;Present;Yes;M;510
1;172;18;18;Absent;No;CR;637
1;173;18;18;Present;No;H;517
1;174;3;3;Absent;No;CR;549
1;175;6;6;Absent;No;CR;632
1;176;12;12;Present;No;H;551
1;177;12;12;Present;No;H;640
1;178;12;12;Absent;No;CR;599
1;179;3;3;Absent;No;CR;468
1;180;12;12;Present;No;H;511
1;181;6;6;Present;No;H;384
1;182;6;6;Absent;No;CR;609
1;183;3;3;Absent;No;CR;525
1;184;3;3;Present;No;H;677
1;185;6;6;Present;No;H;680
1;186;3;3;Present;No;H;468
1;187;12;12;Present;No;H;638
1;188;3;3;Absent;No;CR;637
1;189;6;6;Present;No;H;400
1;190;3;3;Present;No;H;541
1;191;3;3;Absent;No;CR;540
1;192;18;18;Present;No;H;574
1;193;6;6;Absent;No;CR;584
1;194;18;18;Present;No;H;638
1;195;3;3;Present;No;H;589
1;196;3;3;Present;No;H;469
1;197;3;3;Present;No;H;388
1;198;18;18;Absent;No;CR;877
1;199;12;12;Absent;No;CR;679
1;200;12;12;Absent;No;CR;551
1;201;12;12;Present;No;H;447
1;202;18;18;Absent;No;CR;565
1;203;3;3;Absent;No;CR;677
1;204;18;18;Present;No;H;709
1;205;12;12;Present;No;H;591
1;206;18;18;Absent;No;CR;613
1;207;12;12;Absent;No;CR;583
1;208;6;6;Present;No;H;504
1;209;3;3;Absent;No;CR;532
1;210;3;3;Present;No;H;645
1;211;3;3;Absent;No;CR;828
1;212;12;12;Present;No;H;453
1;213;6;6;Present;No;H;672
1;214;12;12;Present;No;H;551
1;215;18;18;Present;No;H;493
1;216;12;12;Present;No;H;511
1;217;3;3;Absent;No;CR;900
1;218;12;12;Present;No;H;719
1;219;3;3;Present;No;H;453
1;220;12;12;Present;No;H;687
1;221;12;12;Absent;No;CR;526
1;222;6;6;Present;No;H;392
1;223;12;12;Absent;No;CR;591
1;224;6;6;Absent;No;CR;593
1;225;3;3;Present;No;H;469
1;226;3;3;Present;No;H;598
1;227;3;3;Absent;No;CR;604
1;228;12;12;Present;No;H;638
1;229;6;6;Absent;No;CR;672
1;230;6;6;Present;No;H;776
1;231;12;12;Present;No;H;559
1;232;12;12;Present;No;H;607
1;233;3;3;Present;No;H;467
1;234;6;6;Absent;No;CR;680
1;235;6;6;Absent;No;CR;640
1;236;18;18;Absent;No;CR;1213
1;237;12;12;Present;No;H;527
1;238;3;3;Present;Yes;M;885
1;239;3;3;Present;No;H;661
1;240;3;3;Absent;No;CR;605
1;241;18;18;Absent;No;CR;637
1;242;6;6;Absent;No;CR;440
1;243;12;12;Present;No;H;470
1;244;18;18;Absent;No;CR;710
1;245;12;12;Present;Yes;M;623
1;246;18;18;Present;No;H;678
1;247;6;6;Absent;No;CR;504
1;248;3;3;Absent;No;CR;525
1;249;6;6;Absent;No;CR;632
1;250;3;3;Present;No;H;541
1;251;3;3;Present;No;H;477
1;252;12;12;Present;No;H;519
1;253;12;12;Absent;No;CR;607
1;254;3;3;Absent;No;CR;517
1;255;12;12;Absent;No;CR;799
1;256;3;3;Present;No;H;501
1;257;12;12;Absent;No;CR;775
1;258;12;12;Present;No;H;551
1;259;12;12;Present;No;H;639
1;260;6;6;Present;No;H;576
1;261;6;6;Present;No;H;432
1;262;6;6;Present;No;H;552
1;263;3;3;Present;No;H;789
1;264;12;12;Present;No;H;558
1;265;12;12;Present;No;H;575
1;266;12;12;Present;No;H;582
1;267;12;12;Present;No;H;559
1;268;3;3;Present;No;H;1133
1;269;12;12;Absent;No;CR;1287
1;270;6;6;Absent;No;CR;744
1;271;3;3;Absent;No;CR;693
1;272;6;6;Absent;No;CR;672
1;273;12;12;Absent;No;CR;1143
1;274;3;3;Absent;No;CR;564
1;275;18;18;Absent;No;CR;589
1;276;3;3;Absent;No;CR;548
1;277;6;6;Present;No;H;512
1;278;6;6;Present;No;H;753
1;279;6;6;Absent;No;CR;1056
1;280;12;12;Present;No;H;640
1;281;6;6;Present;No;H;943
1;282;6;6;Present;No;H;633
1;283;3;3;Present;No;H;453
1;284;18;18;Absent;No;CR;877
1;285;6;6;Absent;No;CR;1008
1;286;18;18;Present;No;H;6982
1;287;3;3;Absent;No;CR;557
1;288;6;6;Present;No;H;527
1;289;18;18;Absent;No;CR;581
1;290;6;6;Absent;No;CR;472
1;291;3;3;Absent;No;CR;517
1;292;12;12;Present;No;H;535
1;293;18;18;Absent;No;CR;757
1;294;12;12;Absent;No;CR;559
1;295;3;3;Present;No;H;484
1;296;12;12;Present;No;H;574
1;297;12;12;Absent;No;CR;687
1;298;18;18;Present;Yes;M;566
1;299;6;6;Present;No;H;431
1;300;3;3;Absent;No;CR;1101
1;1;3;3;Absent;No;CR;717
1;2;3;3;Present;No;H;495
1;3;3;3;Absent;No;CR;655
1;4;3;3;Present;No;H;407
1;5;18;18;Present;No;H;942
1;6;6;6;Present;No;H;580
1;7;12;12;Absent;No;CR;733
1;8;18;18;Absent;No;CR;821
1;9;6;6;Absent;No;CR;691
1;10;12;12;Absent;No;CR;501
1;11;18;18;Absent;No;CR;508
1;12;3;3;Absent;No;CR;526
1;13;3;3;Present;No;H;471
1;14;18;18;Present;No;H;613
1;15;18;18;Present;No;H;524
1;16;18;18;Present;No;H;540
1;17;18;18;Present;No;H;636
1;18;12;12;Present;No;H;484
1;19;12;12;Present;No;H;507
1;20;12;12;Absent;No;CR;755
1;21;3;3;Absent;No;CR;591
1;22;18;18;Present;No;H;627
1;23;6;6;Absent;No;CR;1018
1;24;12;12;Absent;No;CR;9218
1;25;12;12;Absent;No;CR;674
1;26;18;18;Present;No;H;554
1;27;12;12;Absent;No;CR;1514
1;28;12;12;Absent;No;CR;1002
1;29;3;3;Absent;No;CR;462
1;30;6;6;Absent;No;CR;466
1;31;12;12;Absent;No;CR;416
1;32;12;12;Present;No;H;529
1;33;6;6;Absent;No;CR;521
1;34;18;18;Present;No;H;481
1;35;12;12;Present;No;H;426
1;36;3;3;Absent;No;CR;471
1;37;3;3;Present;No;H;438
1;38;6;6;Present;No;H;393
1;39;18;18;Present;No;H;376
1;40;3;3;Present;No;H;397
1;41;12;12;Present;No;H;449
1;42;12;12;Present;No;H;553
1;43;12;12;Absent;No;CR;895
1;44;12;12;Present;No;H;584
1;45;3;3;Present;No;H;389
1;46;12;12;Absent;No;CR;711
1;47;3;3;Absent;No;CR;798
1;48;12;12;Absent;No;CR;560
1;49;18;18;Present;No;H;606
1;50;3;3;Absent;No;CR;605
1;51;12;12;Absent;No;CR;567
1;52;3;3;Present;No;H;525
1;53;12;12;Absent;No;CR;503
1;54;6;6;Absent;No;CR;448
1;55;6;6;Absent;No;CR;449
1;56;18;18;Absent;No;CR;462
1;57;18;18;Present;No;H;558
1;58;6;6;Present;No;H;464
1;59;6;6;Present;No;H;504
1;60;3;3;Present;No;H;517
1;61;12;12;Present;No;H;560
1;62;6;6;Absent;No;CR;737
1;63;12;12;Absent;No;CR;608
1;64;3;3;Present;No;H;414
1;65;12;12;Absent;No;CR;520
1;66;3;3;Absent;No;CR;541
1;67;12;12;Present;No;H;551
1;68;3;3;Absent;No;CR;518
1;69;12;12;Absent;No;CR;527
1;70;12;12;Absent;No;CR;479
1;71;18;18;Absent;No;CR;550
1;72;6;6;Absent;No;CR;513
1;73;3;3;Absent;No;CR;341
1;74;18;18;Present;No;H;478
1;75;3;3;Absent;No;CR;453
1;76;18;18;Present;No;H;750
1;77;6;6;Present;No;H;473
1;78;6;6;Absent;No;CR;513
1;79;18;18;Absent;No;CR;910
1;80;12;12;Absent;No;CR;480
1;81;12;12;Absent;No;CR;463
1;82;18;18;Absent;No;CR;438
1;83;12;12;Present;No;H;616
1;84;18;18;Present;No;H;591
1;85;6;6;Absent;No;CR;489
1;86;12;12;Absent;No;CR;448
1;87;12;12;Absent;No;CR;728
1;88;3;3;Present;No;H;518
1;89;6;6;Absent;No;CR;465
1;90;12;12;Present;No;H;408
1;91;3;3;Present;No;H;589
1;92;12;12;Present;No;H;567
1;93;12;12;Absent;No;CR;559
1;94;12;12;Present;No;H;391
1;95;6;6;Absent;No;CR;497
1;96;18;18;Absent;No;CR;550
1;97;12;12;Present;No;H;479
1;98;6;6;Absent;No;CR;521
1;99;3;3;Present;No;H;430
1;100;18;18;Absent;No;CR;478
1;101;6;6;Absent;No;CR;505
1;102;12;12;Absent;No;CR;615
1;103;18;18;Present;No;H;542
1;104;12;12;Absent;No;CR;671
1;105;12;12;Absent;No;CR;504
1;106;12;12;Absent;No;CR;463
1;107;18;18;Present;No;H;494
1;108;12;12;Absent;No;CR;464
1;109;18;18;Present;No;H;606
1;110;6;6;Absent;No;CR;561
1;111;6;6;Absent;No;CR;425
1;112;6;6;Absent;No;CR;424
1;113;6;6;Absent;No;CR;353
1;114;3;3;Absent;No;CR;541
1;115;3;3;Absent;No;CR;373
1;116;6;6;Absent;No;CR;352
1;117;3;3;Absent;No;CR;326
1;118;3;3;Absent;No;CR;358
1;119;12;12;Present;Yes;M;352
1;120;12;12;Present;No;H;656
1;121;12;12;Present;No;H;527
1;122;6;6;Present;No;H;392
1;123;12;12;Present;No;H;368
1;124;3;3;Present;No;H;349
1;125;18;18;Absent;No;CR;1598
1;126;18;18;Absent;No;CR;590
1;127;18;18;Absent;No;CR;446
1;128;18;18;Absent;No;CR;422
1;129;3;3;Present;No;H;478
1;130;18;18;Present;No;H;710
1;131;3;3;Absent;Yes;FA;1021
1;132;6;6;Present;No;H;497
1;133;18;18;Absent;No;CR;638
1;134;3;3;Present;No;H;493
1;135;3;3;Absent;No;CR;494
1;136;6;6;Present;No;H;441
1;137;3;3;Absent;No;CR;549
1;138;6;6;Present;No;H;665
1;139;3;3;Absent;No;CR;630
1;140;6;6;Absent;No;CR;473
1;141;6;6;Present;No;H;817
1;142;6;6;Absent;No;CR;672
1;143;18;18;Absent;No;CR;765
1;144;6;6;Absent;No;CR;537
1;145;12;12;Present;No;H;487
1;146;3;3;Absent;No;CR;829
1;147;6;6;Absent;No;CR;673
1;148;3;3;Present;No;H;829
1;149;3;3;Absent;No;CR;621
1;150;3;3;Absent;No;CR;574
1;151;6;6;Present;No;H;537
1;152;12;12;Absent;No;CR;607
1;153;6;6;Absent;No;CR;736
1;154;12;12;Present;No;H;471
1;155;3;3;Present;No;H;534
1;156;6;6;Absent;No;CR;624
1;157;3;3;Present;No;H;557
1;158;12;12;Absent;No;CR;791
1;159;6;6;Present;No;H;497
1;160;3;3;Absent;No;CR;646
1;161;18;18;Present;No;H;500
1;162;18;18;Absent;No;CR;742
1;163;6;6;Absent;No;CR;472
1;164;12;12;Absent;No;CR;488
1;165;3;3;Present;No;H;453
1;166;6;6;Present;No;H;417
1;167;3;3;Present;No;H;462
1;168;3;3;Present;No;H;350
1;169;6;6;Present;No;H;305
1;170;6;6;Absent;No;CR;625
